repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
flask,fbb6f0bc4c60a0bada0e03c3480d0ccf30a3c1df,18,10,10,0.556,1.0,0.714
flask,a29f88ce6f2f9843bd6fcbbfce1390a2071965d6,30,4,4,0.133,1.0,0.235
